mode,epoch,episode,step,reward,terminal,sleepy,bored,hungry,quest
0,0,0,0,,,0,0,0,0
0,0,1,20,-0.1,False,0,0,1,2
0,0,2,14,-1,True,0,1,0,1
0,0,3,20,-0.1,False,0,1,0,1
0,0,4,20,-0.1,False,0,0,1,2
0,0,5,20,-0.1,False,1,0,0,0
0,0,6,20,-0.1,False,0,0,1,2
0,0,7,20,-0.1,False,0,0,1,2
0,0,8,7,-1,True,0,1,0,1
0,0,9,20,-0.1,False,1,0,0,0
0,0,10,20,-0.1,False,0,1,0,1
0,0,11,20,-0.1,False,0,0,1,2
0,0,12,20,-0.1,False,0,1,0,1
0,0,13,20,-0.1,False,0,1,0,1
0,0,14,2,1,True,0,0,1,2
0,0,15,20,-0.01,False,0,0,1,2
0,0,16,13,-1,True,0,1,0,1
0,0,17,2,-1,True,0,1,0,1
0,0,18,20,-0.1,False,1,0,0,0
0,0,19,20,-0.1,False,0,0,1,2
0,0,20,20,-0.1,False,1,0,0,0
0,0,21,20,-0.1,False,1,0,0,0
0,0,22,20,-0.01,False,0,0,1,2
0,0,23,20,-0.1,False,0,1,0,1
0,0,24,20,-0.1,False,0,1,0,1
0,0,25,2,-1,True,1,0,0,0
0,0,26,20,-0.1,False,1,0,0,0
0,0,27,20,-0.1,False,0,1,0,1
0,0,28,20,-0.1,False,1,0,0,0
0,0,29,20,-0.1,False,1,0,0,0
0,0,30,20,-0.1,False,1,0,0,0
0,0,31,20,-0.1,False,1,0,0,0
0,0,32,20,-0.1,False,0,1,0,1
0,0,33,20,-0.1,False,0,0,1,2
0,0,34,7,-1,True,0,0,1,2
0,0,35,20,-0.1,False,0,0,1,2
0,0,36,20,-0.1,False,1,0,0,0
0,0,37,20,-0.1,False,0,1,0,1
0,0,38,20,-0.1,False,1,0,0,0
0,0,39,20,-0.1,False,0,0,1,2
0,0,40,20,-0.1,False,1,0,0,0
0,0,41,20,-0.1,False,0,1,0,1
0,0,42,20,-0.1,False,1,0,0,0
0,0,43,20,-0.1,False,0,1,0,1
0,0,44,11,-1,True,0,0,1,2
0,0,45,20,-0.1,False,0,1,0,1
0,0,46,20,-0.1,False,0,0,1,2
0,0,47,20,-0.1,False,0,1,0,1
0,0,48,20,-0.1,False,0,1,0,1
0,0,49,20,-0.01,False,0,1,0,1
0,1,0,20,-0.1,False,0,0,1,2
0,1,1,20,-0.1,False,1,0,0,0
0,1,2,20,-0.1,False,1,0,0,0
0,1,3,20,-0.1,False,0,0,1,2
0,1,4,20,-0.1,False,0,1,0,1
0,1,5,20,-0.1,False,0,1,0,1
0,1,6,20,-0.1,False,0,1,0,1
0,1,7,20,-0.1,False,1,0,0,0
0,1,8,20,-0.1,False,1,0,0,0
0,1,9,20,-0.1,False,1,0,0,0
0,1,10,20,-0.01,False,1,0,0,0
0,1,11,20,-0.1,False,1,0,0,0
0,1,12,20,-0.1,False,1,0,0,0
0,1,13,20,-0.1,False,0,1,0,1
0,1,14,20,-0.1,False,0,0,1,2
0,1,15,20,-0.1,False,1,0,0,0
0,1,16,20,-0.1,False,1,0,0,0
