epoch,mode,len,invalids,quests_complete,deaths,score
1,0,17.960000000000001,17.199999999999999,0.02,0.14000000000000001,-1.8460000000000003
1,1,18.859999999999999,17.420000000000002,0.02,0.089999999999999997,-1.7758000000000005
2,0,18.940000000000001,17.960000000000001,0.040000000000000001,0.059999999999999998,-1.8248000000000002
2,1,19.059999999999999,18.52,0.040000000000000001,0.040000000000000001,-1.8368
3,0,19.199999999999999,18.260000000000002,0.02,0.10000000000000001,-1.9142000000000001
3,1,17.02,16.379999999999999,0.059999999999999998,0.10000000000000001,-1.6828000000000003
4,0,18.300000000000001,17.34,0.02,0.16,-1.8818000000000006
4,1,18.879999999999999,17.02,0.040000000000000001,0.089999999999999997,-1.7000000000000006
5,0,19.379999999999999,18.059999999999999,0.040000000000000001,0.059999999999999998,-1.8382000000000005
5,1,15.98,14.640000000000001,0.059999999999999998,0.11,-1.5752000000000002
6,0,18.879999999999999,17.940000000000001,0.040000000000000001,0.059999999999999998,-1.8224000000000005
6,1,18.399999999999999,17.68,0.0,0.080000000000000002,-1.8742000000000005
7,0,16.98,15.699999999999999,0.059999999999999998,0.17999999999999999,-1.7004000000000006
7,1,15.26,14.539999999999999,0.040000000000000001,0.20000000000000001,-1.6386000000000005
8,0,18.100000000000001,17.18,0.0,0.16,-1.8856000000000004
8,1,17.800000000000001,16.859999999999999,0.02,0.14000000000000001,-1.7940000000000003
9,0,17.68,16.640000000000001,0.059999999999999998,0.16,-1.7722000000000007
9,1,17.34,16.239999999999998,0.059999999999999998,0.13,-1.6734000000000002
10,0,17.539999999999999,16.420000000000002,0.059999999999999998,0.23999999999999999,-1.8302000000000005
10,1,15.16,12.1,0.16,0.20999999999999999,-1.2572000000000003
11,0,18.260000000000002,16.960000000000001,0.040000000000000001,0.14000000000000001,-1.8072000000000006
11,1,16.239999999999998,15.279999999999999,0.080000000000000002,0.14999999999999999,-1.6152000000000004
12,0,19.02,17.800000000000001,0.0,0.080000000000000002,-1.8714000000000004
12,1,17.5,16.760000000000002,0.080000000000000002,0.080000000000000002,-1.6818000000000004
13,0,18.399999999999999,17.079999999999998,0.080000000000000002,0.10000000000000001,-1.7394000000000005
13,1,16.460000000000001,15.359999999999999,0.059999999999999998,0.14000000000000001,-1.6646000000000001
14,0,18.960000000000001,17.920000000000002,0.059999999999999998,0.059999999999999998,-1.8012000000000006
14,1,15.94,14.779999999999999,0.16,0.10000000000000001,-1.4666000000000003
15,0,18.039999999999999,16.879999999999999,0.040000000000000001,0.16,-1.8176000000000005
15,1,15.699999999999999,14.74,0.12,0.14999999999999999,-1.5010000000000006
16,0,17.02,15.779999999999999,0.059999999999999998,0.23999999999999999,-1.7674000000000001
16,1,14.02,12.32,0.26000000000000001,0.19,-1.1250000000000004
17,0,16.739999999999998,15.4,0.059999999999999998,0.22,-1.7106000000000003
17,1,15.84,15.42,0.10000000000000001,0.17999999999999999,-1.5838000000000003
18,0,17.68,16.48,0.059999999999999998,0.12,-1.7182000000000004
18,1,14.539999999999999,12.880000000000001,0.14000000000000001,0.17000000000000001,-1.3810000000000002
19,0,16.440000000000001,14.960000000000001,0.10000000000000001,0.22,-1.6276000000000004
19,1,15.24,13.720000000000001,0.12,0.20000000000000001,-1.4442000000000004
20,0,17.34,15.960000000000001,0.059999999999999998,0.14000000000000001,-1.6878000000000006
20,1,15.02,13.539999999999999,0.22,0.12,-1.2456000000000005
21,0,18.079999999999998,16.440000000000001,0.040000000000000001,0.20000000000000001,-1.8180000000000005
21,1,16.460000000000001,15.32,0.10000000000000001,0.17000000000000001,-1.5810000000000002
22,0,17.300000000000001,15.84,0.12,0.14000000000000001,-1.6160000000000005
22,1,14.619999999999999,13.56,0.16,0.14999999999999999,-1.3633999999999999
23,0,18.579999999999998,17.0,0.10000000000000001,0.080000000000000002,-1.6940000000000006
23,1,14.119999999999999,12.68,0.12,0.17000000000000001,-1.4186000000000005
24,0,17.280000000000001,15.58,0.080000000000000002,0.14000000000000001,-1.6328000000000003
24,1,17.66,17.32,0.040000000000000001,0.12,-1.7940000000000003
25,0,17.640000000000001,16.32,0.040000000000000001,0.17999999999999999,-1.7830000000000006
25,1,15.06,13.16,0.26000000000000001,0.14000000000000001,-1.1714000000000004
26,0,17.059999999999999,15.42,0.10000000000000001,0.16,-1.6158000000000003
26,1,12.779999999999999,9.7200000000000006,0.26000000000000001,0.19,-0.95780000000000032
27,0,16.100000000000001,14.4,0.14000000000000001,0.23999999999999999,-1.5532000000000006
27,1,11.18,8.6999999999999993,0.29999999999999999,0.26000000000000001,-0.86900000000000022
28,0,15.26,12.92,0.23999999999999999,0.23999999999999999,-1.3106000000000002
28,1,14.880000000000001,13.84,0.14000000000000001,0.20999999999999999,-1.4312
29,0,17.559999999999999,16.18,0.080000000000000002,0.17999999999999999,-1.7292000000000005
29,1,14.800000000000001,13.48,0.20000000000000001,0.17000000000000001,-1.3176000000000005
30,0,15.640000000000001,14.0,0.16,0.26000000000000001,-1.5122000000000002
